Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Abolish Temporary Protection Visas,Australian Labor Party,"Labor has committed to abolish Temporary Protection Visas and Safe Haven Enterprise Visas and transition eligible refugees onto permanent visa arrangements.<div><br></div><div>(Ch 9, para 306)<br><div><br></div><div><br></div></div>",,,18/12/2018,,Home Affairs,National Platform,Leader,National,5,,,TRUE,FALSE,,424
Meeting on Industrial Relations Policy,Australian Labor Party,"Labor has committed to convene a meeting with unions, employers, the representatives of workers, the representatives of industry and small business and the sectors to start the process of getting the wages of Australia moving again from the very first week after the election.",,,18/12/2018,,Jobs and Small Business,Speech,Leader,National,6,,,TRUE,FALSE,,425
Prohibiting Sham Enterprise Agreements,Australian Labor Party,Labor has committed to prohibit employers to enter into sham enterprise agreements with unrepresentative groups of employees and then use those agreements to cover different employees in different work sites. Labor has also committed to change the test for the termination of enterprise agreements.,,,12/12/2018,,Jobs and Small Business,Speech,Relevant Spokesperson,National,5,,,TRUE,FALSE,,426
Introduction of an Industrial Manslaughter Offence,Australian Labor Party,"<div>Labor has committed to support industrial manslaughter laws through amendments of WHS laws and/or the state and territory criminal codes and sets an objective to have industrial manslaughter laws enacted in all States and Territories in Australia within the first year of a Labor Government.</div><div><br></div>Labor endorses all 34 recommendations in the Senate report <i>They never came home</i>&nbsp;and supports their implementation, working through SafeWork Australia, the State and Territory governments, and with the trade union movement.<div><br><div>(Resolutions to the National Platform, pg 250-251)</div></div>",,,18/12/2018,,Jobs and Small Business,National Platform,Leader,National,4,,,TRUE,FALSE,,427
Mobile Blacks Spots Along the Princes Highway,Australian Labor Party,<div>Labor has committed to provide up to $2 million in essential funding to help fix mobile black spots along the Princes Highway.</div><div><br></div><div>Labor has identified the following places along the Princes Highway as priorities for fixing:<br></div><div><ul><li>between Wandandian and Bewong</li><li>between Moruya and Batemans Bay</li><li>near Broulee Road.&nbsp;</li></ul></div><div><br></div>,$2 million,,14/03/2019,,Communications and the Arts,Press Release,Relevant Spokesperson,State,5,,,TRUE,FALSE,,428
Online Safety Grants Program,Coalition,"The Coalition has committed $10 million for a new&nbsp;Online Safety Grants Program to enable non-government organisations (NGOs) to deliver practical online safety education and training projects.<div><br></div><div>The program will be administered by the Office of the eSafety Commissioner which was established by the Coalition in 2015 as a world-first statutory authority for the community’s online safety.&nbsp;</div><div><br></div><div>This commitment builds on the $17 million Keeping our Children Safe Online package announced in December 2018 which included new resources for parents and carers, an online safety research program and the development of an Online Safety Charter for digital platforms.</div>",$10 million,,9/02/2019,,Communications and the Arts,Press Release,Leader,National,1,,,TRUE,FALSE,,429
Modernisation of Media Frameworks and Regulations,Australian Labor Party,"Labor has commited to pursue a major modernisation of media frameworks and regulations, including broadcast rules that were designed for the previous analogue era.<div><br></div><div><br></div><div><br></div>",,,3/02/2019,,Communications and the Arts,Media Report,Relevant Spokesperson,National,5,,,TRUE,FALSE,,430
Establishment of a New International Internet Submarine Fibre Cable Link to the Sunshine Coast,Australian Labor Party,"<div>&nbsp;Labor has committed $5 million to support the establishment of a new international internet submarine fibre cable link to the Sunshine Coast.</div><div><br></div><div>The submarine cable project, being led by the Sunshine Coast Council in partnership with the State Government, is forecast to create up to 864 new jobs and stimulate $927 million worth of new investment in Queensland.</div>",$5 million,,19/01/2019,,Communications and the Arts,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,431
Primary Industries Education Foundation Australia,Australian Labor Party,"Labor has committed to reverse the decision to withdraw $100,000 funding to the Primary Industries Education Foundation.",,,7/02/2019,,Education and Training,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,432
Perry Cross Spinal Research Foundation,Australian Labor Party,Labor has committed to provide $1.65 million to the Perry Cross Spinal Research Foundation to help them find a cure for paralysis and for the Foundation's functional therapy program.,,,11/02/2019,,Health,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,433
PFAS Remediation,Australian Labor Party,"Labor has committed $10 million to remediate PFAS contaminated drains around RAAF Base Williamtown. Labor's $20 million Drain Management Plan will include the removal of contaminated soil from drains, some of which are up to four metres wide, and storage or disposal of the contaminated material off-site.&nbsp;<div><br></div><div><br></div>",$10 million,,14/03/2019,,Defence,Press Release,Leader,National,5,,,TRUE,FALSE,,434
Better specialist services for Brisbane's Northside,Australian Labor Party,"Labor has committed to $30 million to give residents better access to community-based health services so they don't need to travel to hospitals. The $30 million will go towards:<div><ul><li>Determining the best location and buying the land in the Strathpine or Warner area;</li><li>Planning, design and construction of the building;</li><li>Ensuring access to contemporary communications technology, including telehealth.&nbsp;&nbsp;</li></ul></div>",$30 million,,14/03/2019,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,,435
Kyogle Bridges Program,Australian Labor Party,Labor has committed $9 million to to replace ageing timber bridges in Kyogle. Federal Labor's investment will be matched by NSW Labor and the Kyogle Council will contribute a further $18 million to the program. This program will allow the Council to fast-track work on at least a dozen projects and over time to fully replace all the outstanding bridges.&nbsp;,$9 million,,14/03/2019,,"Infrastructure, Regional Development and Cities",Press Release,Local Candidate,Electorate,5,,,TRUE,FALSE,,436
National Ban on the Use of Ticket-buying Bot Software,Australian Labor Party,"Labor has committed to introduce a national ban on the use of ticket-buying bot software, which flood ticket websites to purchase the most tickets possible, causing ordinary consumers to miss out.<div><br></div><div>Labor will also introduce a national cap of 110 per cent of initial face value price for any resold tickets and make sure laws are consistent across all states and territories through federal legislation.<br></div><div><br></div><div><div>Labor will also boost consumer protection by:</div><div><ul><li>Strengthening disclosure requirements for all ticket sellers</li><li>Allowing for the fair resale of tickets, preventing primary ticket sellers cancelling legitimately purchased on-sold tickets</li><li>A national ban on speculative ticket listing</li></ul></div></div><div><br></div>",,,30/11/2018,,Communications and the Arts,Press Release,Leader,National,1,,Music Policy Package (ALP),TRUE,FALSE,,437
Expand Commuter Car Parking at Quakers Hill Train Station,Australian Labor Party,"Labor has committed to invest $8 million to nearly double commuter car parking at Quakers Hill train station, NSW. This would be in conjunction with $8 million in funding from the State Labor government.&nbsp;<div><br></div><div>Federal and State Labor governments would partner to provide 225 extra spaces in a new multi-level car park.</div>",$8 million,,15/02/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,National Park and Ride Fund (ALP),TRUE,FALSE,,438
Macedon Ranges Regional Sports Precinct,Australian Labor Party,"Labor has committed $10 million towards providing much-needed indoor and outdoor playing services as well as new and improved facilities for the Macedon Ranges Regional Sports Precinct, VIC.",$10 million,,14/02/2019,,Health,Media Report,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,,439
Quality Tourism Framework,Australian Labor Party,Labor has committed to invest $6 million in the Quality Tourism Framework.,$6 million,,1/03/2019,,Foreign Affairs and Trade,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,440
Expand Commuter Parking at Northgate Train Station,Australian Labor Party,"Labor has committed to contribute $7 million and work with the Queensland government to expand park and ride facilities at Northgate train station, QLD.<div><br></div><div>The commitment will form part of Labor's <i>National Park and Ride Fund</i>.</div>",$7 million,,29/10/2018,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,National Park and Ride Fund (ALP),TRUE,FALSE,,441
Honouring the 6th Community Pharmacy Agreement,Australian Labor Party,"Labor has committed to honour the 6th Community Pharmacy Agreement (6CPA) and lead early and inclusive negotiations towards the next agreement, noting that the 6CPA expires in June 2020.<div><br></div><div>This will include:</div><div><ul><li>Considering ways to improve the affordability of medicines</li><li>Working with pharmacists and the medicines sector to improve access to medicines on the PBS and the National Immunisation Program</li><li>Addressing other barriers to access, such as the difficulty of attracting and retaining pharmacists in some parts of Australia</li><li>Considering the role of pharmacists in primary health care reform.</li></ul></div>",,,7/03/2019,,Health,Speech,Relevant Spokesperson,National,3,,,TRUE,FALSE,,442
"Improve Australian Public Service Efficiency, Jobs and Services",Australian Labor Party,"<div>Labor has committed to improve efficiency in the Australian Public Service while boosting service delivery and jobs.</div><div>&nbsp;</div><div>Labor will not proceed with the remaining 0.5 per cent additional efficiency dividend next financial year. The decision not to proceed with the additional efficiency dividend will be offset by cracking down on significant blowouts in contractors and consultants, as well as spending on travel. On travel, Labor will reduce travel spending across the public service by 10 per cent, focusing on alternatives such as video-conferencing.</div><div>&nbsp;</div><div>Labor will also commit $394 million to save an estimated 550 jobs and ensure valuable experience, expertise and corporate memory is retained within the public service.</div><div>&nbsp;</div><div><br></div>",$394 million,,9/08/2018,,Prime Minister and Cabinet,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,443
Frankston Station Commuter Parking Expansion,Australian Labor Party,"Labor has committed to jointly fund a $35 million expansion of parking facilities at Frankston train station, VIC, with the Victorian government. Labor's commitment will deliver a 500-space car park, and forms part of its <i>National Park and Ride Fund</i>.&nbsp;",$17.5 million,,27/09/2018,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,National Park and Ride Fund (ALP),TRUE,FALSE,,444
 Expanding Mobile Coverage Across Regional Australia,Australian Labor Party,"<div>Labor has committed to expanding mobile coverage across regional Australia.</div><div><br></div><div>Labor will address the criticism of the Mobile Black Spot Program (MBSP) made by the Australia National Audit Office (ANAO),&nbsp; Productivity Commission and Australian Consumer and Competition Commission (ACCC) and work with experts, community and state and local governments to deliver better community outcomes.</div><div><br></div><div>Labor remains committed to the role of Government in playing an active role to fund and facilitate improved mobile coverage where the market will not deliver outcomes.&nbsp;&nbsp;</div><div>&nbsp;</div><div>In developing future policy direction it will be important to:</div><div><ul><li>Explore new technologies including small cells, repeaters, boosters and low orbit satellites to improve mobile coverage.</li><li>Work to bring the States and Territories back into the mobile black spot program as well as developing better partnerships with local government.</li><li>Adopt a more strategic approach by working with local communities on Regional Communications Plans that could identify opportunities to leverage public assets for improved connectivity outcomes.</li></ul></div>",,,26/07/2018,,Communications and the Arts,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,445
Harmonise Laws on the Supply of Medicines and Vaccines,Australian Labor Party,"Labor has committed to ask the COAG Health Council to consider whether it is possible and desirable to harmonise state laws and programs on the supply of medicines and vaccines, Opioid Dependence Treatment and continuity of supply after natural disasters.",,,7/03/2019,,Health,Speech,Relevant Spokesperson,National,5,,,TRUE,FALSE,,446
Riverwood Station Commuter Car Parking,Australian Labor Party,"Labor has committed to contribute $8.5 million towards building a new $17 million multi-story commuter car park at Riverwood Train Station, NSW. The State Labor Government will also contribute $8.5 million towards the project.&nbsp;<div><br></div><div>This commitment forms part of Labor's <i>National Park and Ride Fund</i>.</div>",$8.5 million,,27/07/2018,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,National Park and Ride Fund (ALP),TRUE,FALSE,,447
Mango Hill Station Commuter Parking Expansion,Australian Labor Party,"Labor has committed to invest $4 million towards the expansion of the Mango Hill Station parking facility in Mango Hill, QLD. This commitment forms part of Labor's <i>National Park and Ride Fund</i>.&nbsp;",$4 million,,17/07/2018,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,National Park and Ride Fund (ALP),TRUE,FALSE,,448
Narangba Station Commuter Parking Expansion,Australian Labor Party,"Labor has committed to invest $5 million towards the expansion of Narangba Train Station's parking facility, which serves the communities of Narangba, Deception Bay, Burpengary and North Lakes, QLD.<div><br></div><div>This commitment forms part of Labor's <i>National Park and Ride Fund</i>.&nbsp;</div>",$5 million,,26/07/2018,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,With SCIT,449
Boost Mobile Phone Coverage for North West Tasmania,Australian Labor Party,"<div>Labor has committed $2 million to be spent on mobile black spots in Circular Head, the West Coast and King Island.</div><div><br></div><div>Under the Better Regional Connectivity Package, Labor will invest in additional mobile black spots in areas based on community need and in consultation with residents, local and State governments, emergency services and mobile network operators.</div>",$2 million,,1/06/2018,,Communications and the Arts,Press Release,Local Candidate,Electorate,5,,,TRUE,FALSE,,450
Tarneit Station Commuter Parking Expansion,Australian Labor Party,Labor has committed to jointly fund a $15 million expansion of car parking facilities at Tarneit train station with the Victorian Government. This commitment would delivery up to 400 extra parking spaces.&nbsp;<div><br></div><div>Labor's $7.5 million commitment comes from the <i>National Park and Ride Fund</i>.</div>,$7.5 million,,27/10/2018,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,,451
Review Into the Inadequacy of Newstart Payment,Australian Labor Party,"<div>Labor has committed to urgently complete a review into the inadequacy of Newstart payments and make recommendations within the first 18 months of government, on how best to address this. The review should include broad consultation and surveying of unemployed Australians about how the low rate of Newstart impacts on their health, ability to re-enter employment and to afford basic necessities, with the responses to be publicly reported.</div><div><br></div><div>(Chapter 9: A fair go for all, no. 35.)</div><div><br></div>",,,15/12/2018,,Human Services,National Platform,Leader,National,3,,,TRUE,FALSE,,452
Cairns Asia-Pacific Aviation Hub,Australian Labor Party,"Labor has committed to invest $10 million to allow CQUniversity to deliver the final stage of its Asia-Pacific Aviation Hub in Cairns.&nbsp;<div><br></div><div>The funding will go towards a flight simulator, aviation sensors, tracking equipment, as well as new aircraft hangers and training facilities at Cairns airport. An aerospace lab will also be established to lead research into pilot fatigue and air traffic control. Cairns will be able to train up to 150 aviation students per year.</div>",$10 million,,12/03/2019,,Education and Training,Press Release,Deputy Leader,Electorate,5,,University Future Fund (ALP),TRUE,FALSE,,453
Gold Coast Light Rail Stage 3A,Australian Labor Party,"Labor has committed to invest $112 million to support the delivery of Stage 3A of the Gold Coast Light Rail Project, extending the network from Broadbeach to Burleigh Heads.<div><br></div><div>Labor will work with the Gold Coast City Council and the QLD Government to delivery the 6.4 km extension. Stage 3A will include eight new light rail stations.</div>",$112 million,,11/03/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,,454
Closing the Gap Vision for 2020,Australian Labor Party,Labor has committed to fully implementing the Roadmap to Close the Gap for Vision.&nbsp;,Undefined,,15/03/2019,,Indigenous Affairs,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,455
Planning to Dual Lane the Bruce Highway,Australian Labor Party,Labor has committed $2.1 million to commence planning to dual lane the Bruce Highway between Gladstone and Rockhampton. The project would identify future priorities for capacity upgrades including increasing the road from two to four lanes and creating additional overtaking opportunities.,$2.1 million,,11/03/2019,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,With SCIT,456
National Fire Fighting Fleet,Australian Labor Party,"Labor has committed to boost Australia's firefighting capabilities with a national fleet of aircraft and dedicated smokejumper units to keep Australians safe from bushfires. The commitment will:<div><ul><li>Establish the National Aerial Bushfire Fighting Fleet of aircraft, with a funding commitment of $80 million. As part of this $80 million commitment, Labor will work with the states and territories to establish smokejumper units across the country.</li><li>Provide $21 million to the National Aerial Firefighting Centre (NAFC), returning to a 50-50 funding split between the states and territories and the Commonwealth.&nbsp;</li></ul></div>",$101 million,,17/03/2019,,Attorney-General's,Press Release,Leader,National,5,,,TRUE,FALSE,,457
Expanding Indexation of MBS Items,Coalition,"The Coalition has committed to invest almost $200 million towards expanding the indexation of Medicare Benefits Schedule (MBS) items to all ultrasound and diagnostic radiology services over three years from 1 July 2020. This means that Medicare rebates for about 90 per cent of all diagnostic imaging services will now be indexed.<div><br></div><div>This is in addition to the indexation of MBS items for computed tomography, fluoroscopy, mammography and interventional radiology, also commencing from 1 July 2020, announced in the 2017-18 Budget.</div>",$200 million,,17/03/2019,,Health,Press Release,Relevant Spokesperson,National,3,,,TRUE,FALSE,,458
Clinical Command Centre at Royal Perth Hospital,Australian Labor Party,"<font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed $15 million to build a clinical command centre at Royal Perth Hospital to help provide care to patients across Western Australia.</span></font>",$15 million ,,18/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,459
New Health Clinic in Yanchep,Australian Labor Party,"Labor has committed $18.2 million to establish a new health clinic in Yanchep, WA.&nbsp;",$18.2 million ,,18/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,460
Laverton Hospital Upgrade ,Australian Labor Party,"<font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed $12.8 million to replace Laverton Hospital with a new contemporary facility, in conjunction with a state government commitment of $4 million to the project.</span></font>",$12.8 million,,18/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,461
Collie Hospital Upgrade,Australian Labor Party,"<font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed $12.2 million to upgrade Collie Hospital's surgery facilities.</span></font>",$12.2 million,,18/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,462
New Palliative Beds at Osborne Park Hospital,Australian Labor Party,"Labor has committed $25 million to provide 25 new palliative care beds at Osborne Park Hospital, WA, to ensure more people get the best possible care at the end of their lives.",$25 million,,18/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,463
Albany Hospital - Dental Clinic Expansion ,Australian Labor Party,"<font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed $5 million to double the capacity of Albany Hospital's dental clinic in WA.</span></font>",$5 million ,,18/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,464
Funding for Dialysis Facilities in Halls Creek ,Australian Labor Party,"<font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed to invest $700,000 to provide dialysis facilities for Halls Creek in the Kimberley, WA.</span></font>","$700,000",,18/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,465
Australian Meat Industry Strategy,Australian Labor Party,Labor has committed to develop a strategic red meat industry plan which Labor will use to lift productivity and promote sustainable profitability for both producers and processors.,,,23/01/2019,,Agriculture and Water Resources,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,With SCIT,466
Prohibiting Borrowing by Superannuation Funds for Housing Investments.,Australian Labor Party,"Labor will restore the general ban on direct borrowing by superannuation funds, as recommended by the 2014 Financial Systems Inquiry.",,,21/04/2017,,Treasury,Press Release,Leader,National,5,,,TRUE,FALSE,,467
National Telestroke Network ,Australian Labor Party,"<div><span style=""font-family: Arial, sans-serif; font-size: 13.5pt;"">Labor has
committed $11.9 million to build a National Telestroke Network which will link an additional 41 regional and rural emergency departments&nbsp;and rural emergency
departments to a roster of metropolitan stroke specialists via cutting edge
telehealth technology. This will include:</span><br></div><div>

<ul type=""disc"">
 <li class=""MsoNormal"" style=""line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size:13.5pt;font-family:&quot;Arial&quot;,sans-serif;
     mso-fareast-font-family:&quot;Times New Roman&quot;;mso-fareast-language:EN-AU"">$3
     million for the Australian Stroke Clinical Registry to ensure the
     network's stroke data is captured and used&nbsp;<o:p></o:p></span></li>
 <li class=""MsoNormal"" style=""line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size:13.5pt;font-family:&quot;Arial&quot;,sans-serif;
     mso-fareast-font-family:&quot;Times New Roman&quot;;mso-fareast-language:EN-AU"">$600,000
     for ""FAST' - Face, Arms, Speech, Time - community education
     programs&nbsp;<br><o:p></o:p></span></li>
</ul></div>",$11.9 million ,,19/03/2019,,Health,Press Release,Leader,National,5,,,TRUE,FALSE,,468
Plan to Tackle Ice in WA - Plan Overview,Australian Labor Party,"Labor has committed $20 million to fund new drug, alcohol and mental health facilities in Western Australia's hospitals to tackle the ice epidemic. Labor's investment will fund:<div><ul><li>A 10 bed withdrawal unit and a mental health emergency centre at Midland Hospital in Perth ($4.6 million)</li><li>A 10 bed withdrawal unit at the Peel Health Campus in Mandurah ($6 million)</li><li>A mental health emergency centre in Rockingham ($5 million)</li><li>An alcohol and drugs urgent care clinic at the Sir Charles Gairdner Hospital ($4.15 million)</li></ul><div>These projects stem from the recommendations of the WA Government's Methamphetamine Action Plan Taskforce's final report.</div></div>",$20 million,,19/03/2019,,Health,Press Release,Leader,State,5,,,TRUE,FALSE,,469
Midland Hospital - Ice Withdrawal Unit ,Australian Labor Party,"Labor has committed $4.6 million to fund a 10 bed withdrawal unit and a mental health emergency centre at Midland Hospital, Perth.",$4.6 million,,19/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,470
Peel Health Campus - Ice withdrawal unit ,Australian Labor Party,"<font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed $6 million to fund a 10 bed ice withdrawal unit at the Peel Health Campus in Mandurah, WA.</span></font>",$6 million,,19/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,471
Rockingham Mental Health Emergency Centre ,Australian Labor Party,"Labor has committed $5 million to fund a mental health emergency centre in Rockingham, WA.",$5 million,,19/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,472
Sir Charles Gairdner Hospital - Urgent Care Clinic ,Australian Labor Party,"<font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed $4.15 million to fund an alcohol and drugs urgent care clinic at the Sir Charles Gairdner Hospital, WA.</span></font>",$4.15 million ,,19/03/2019,,Health,Press Release,Leader,Electorate,5,,,TRUE,FALSE,,473
Forestry Sector Summit,Australian Labor Party,"Labor has committed to hold a summit for the forestry sector to inform the development of a comprehensive forestry strategic plan and in a bipartisan manner, will consider the work undertaken so far.&nbsp;<div><br></div><div>Labor's forestry plan will seek to adequately promote sustainable profitability, local downstream processing, and good local jobs. It will be developed by government, industry, employers and trade unions.</div>",,,1/03/2019,,Agriculture and Water Resources,Press Release,Relevant Spokesperson,National,5,,,TRUE,FALSE,,474
Father Bob Maguire Foundation ,Australian Labor Party,"Labor has committed $200,000 over four years to fund the Father Bob Maguire Foundation. The funding will also support the expansion of Father Bob's vital services into Stonnington and Glen Eira.<div><br></div><div>This commitment forms part of Labor's $40 million commitment to increase funding for emergency relief services who support people in financial crisis.</div>","$200,000 over four years",,3/03/2019,,Social Services,Press Release,Leader,National,5,,,TRUE,FALSE,,475
Establishment of a New Headspace - Emerald ,Australian Labor Party,Labor has committed to create a new Emerald Headspace to deliver greater early intervention mental health services for those aged 12 to 25 years.,,,8/03/2019,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,,476
Establishment of a New Headspace - Monash ,Australian Labor Party,Labor has committed to create a new Monash headspace to deliver greater early intervention mental health services for those aged 12 to 25 years.,0,,19/10/2018,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,TRUE,FALSE,,477
Mental Health Support for the AFP,Australian Labor Party,"Labor has committed to invest $5 million over four years, that will sit outside the chain of command, in new mental health support services for the Australian Federal Police (AFP). Labor will work with the AFP, the AFP Association and experts to direct this funding to the best mental health support services available.",$5 million over four years,,20/03/2019,,Home Affairs,Press Release,Leader,National,5,,,TRUE,FALSE,,478
Establishment of a Financial Services Royal Commission Implementation Taskforce,Australian Labor Party,"Labor has committed to establish a Financial Services Royal Commission Implementation Taskforce to respond to the Banking Royal Commission.<div><br></div><div>(Resolutions for Ch 2, pg 245)</div>",,,18/12/2018,,Treasury,National Platform,Leader,National,5,,,TRUE,FALSE,,479
Mortgage Broker Renumeration ,Australian Labor Party,"<div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">Labor has committed to implementing reforms to address conflicted remuneration through the following stages:</span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;""><br></span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">1. Prohibit trail commissions from lenders to mortgage brokers and aggregators on new loans from 1 July 2020.</span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">2. Regulate a flat, upfront commission for mortgage brokers that will eliminate the conflict of interest that comes from different lenders offering different commissions.</span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">3. Regulate that a commission can only apply to the amount drawn down by the borrower, not the total loan amount.</span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">4. Limiting to two years the period over which commissions can be clawed back from aggregators and brokers, and prohibit clawbacks from being passed onto consumers.</span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">5. Ban campaign and volume-based commissions and payments and other incentives being offered to brokers by lenders.</span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">6. The Council of Financial Regulators, along with the Australian Competition and Consumer Commission (ACCC), will review in three years’ time the impact of the above changes and implications for consumer outcomes and competition of moving to a borrower pays remuneration structure for mortgage broking, as recommended by the Royal Commission, and any associated changes that should be made to non-broker facilitated loans.</span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;""><br></span></font></div><div style=""""><font face=""Arial, sans-serif""><span style=""font-size: 18px;"">(Recommendation 1.3 and 1.4)</span></font></div></div><p class=""MsoNormal""><span style=""font-size:13.5pt;line-height:107%;font-family:
&quot;Arial&quot;,sans-serif""><o:p></o:p></span></p>",,,22/02/2018,,Treasury,Policy document,Leader,National,5,,,TRUE,FALSE,,480
Upgrade to Meercroft Park Facilities,Australian Labor Party,"<div>Labor has commited $1 million to upgrade Meercroft Park. The investment will help fund new change rooms, club rooms, storage, a meeting room, kitchen, and canteen.</div><div><br></div>",$1 million,,30/06/2018,,Health,Press Release,Local Candidate,Electorate,5,,,TRUE,FALSE,,481
New Shade Sail for Cairns West State School,Australian Labor Party,"Labor has committed $35,000 for a new shade sail for Cairns West State School.","$35,000",,12/03/2019,,Education and Training,Press Release,Deputy Leader,Electorate,3,,,TRUE,FALSE,,482
Response to the Banking Royal Commission,Australian Labor Party,Labor has committed to implement&nbsp;75 recommendations of the Royal Commission in full and stand up for Australians affected by banking misconduct.&nbsp;The single remaining recommendation – Recommendation 1.3 – will be implemented in a manner that will achieve the objectives set out by Commissioner Hayne.,,,4/02/2019,,Treasury,Press Release,Leader,National,5,,,TRUE,FALSE,,483
Additional funding for Walliston Primary School,Australian Labor Party,"Labor has committed $50,000 for Walliston Primary School to build an outdoor shelter in their early childhood education centre and upgrade their cricket nets.","$50,000",,26/02/2019,,Education and Training,Press Release,Deputy Leader,Electorate,5,,,TRUE,FALSE,,484
